,description
736,"AXELOT – авторитетный и динамично развивающийся игрок ИТ-рынка. Компания работает на рынке информационных технологий с 1998 года и является экспертом в области разработки, внедрения и сопровождения ИТ-систем. AXELOT занимает лидирующие позиции на российском рынке систем автоматизации предприятий, в частности, на рынке систем класса WMS и TMS. В число наших клиентов входят как крупнейшие государственные учреждения, так и коммерческие компании различных отраслей и масштабов бизнеса. В связи с активным развитием бизнеса приглашаем присоединиться к нашей команде. Наши ожидания:  Высшее техническое образование; Опыт работы и (или) внедрения систем класса TMS для автоматизации транспортной логистики; Опыт системного анализа и описания бизнес-процессов; Опыт разработки регламентов и должностных инструкций; Знания в транспортной логистике и (или) опыт работы в крупных транспортных компаниях; Умение работать в команде, обучаемость, нацеленность на результат, ответственность, аккуратность, коммуникабельность; Желательно: базовые знания платформы 1С:Предприятие 8; Владение методологией описания бизнес-процессов в нотации ARIS eEPC; Приветствуется: знание решения AXELOT:TMS; Готовность к командировкам.  Что предстоит делать:  Проведение обследований бизнес-процессов у Заказчика, проведение интервью ключевых специалистов; Анализ существующих бизнес-процессов, проектирование и описание бизнес-процессов («as is» и «to be»); Определение требований на доработку и внедрение автоматизированной системы TMS, разработка технических заданий; Тестирование работы системы; Параметрическая настройка системы; Разработка инструкций для пользователей; Проведение обучение ключевых пользователей; Запуск системы и разработанных организационных регламентов в эксплуатацию, поддержка пользователей во время запуска TMS.  Мы предлагаем:  Высокий «белый» оклад (по результатам собеседования); Оформление по ТК с первого рабочего дня; График работы с пон. по пят. (наши сотрудники работают по графикам с 8-17:00; 9-18:00; 10-19:00); Работу в современном офисе м. Ботанический сад; Корпоративные мероприятия (спорт, коллективный отдых); Обучение и развитие за счет компании.   "
737,"Обязанности: Системное администрирование информационной сети Интернет, обеспечение работоспособности сети, устранение сбоев, внедрение и сопровождение системного и сетевого ПО, обеспечение антивирусной защиты сети Интернет.   Требования: Высшее образование (информатика и вычислительная техника), умение работать с большим объемом информации, стрессоустойчивость, ответственность. ​​​​​​ Условия: График работы 5/2, официальное трудоустройство, место работы - г.Дзержинский (25 минут на общественном транспорте от ст. Люберцы, Люблино, Кузьминки, Котельники)  "
738,"Обязанности: - Сопровождение АБС; - Обновление программного обеспечения в соответствии с внесением доработок разработчиком; - Разработка программного кода тестирование его на работоспособность; - Поддержка актуальной версии АБС.   Требования: - Опыт работы с MS SQL Server, (SQL - запросы, экранные формы, отчеты); - Знание английского языка на уровне, достаточном для чтения технической документации.   Условия: - Оформление согласно ТК РФ; - Обучение; - Условия по оплате труда определяются по итогам собеседования.    "
739,"Компания «Инфосистемы Джет» — одна из крупнейших ИТ-компаний в России и СНГ. Подразделение консалтинга, разработки и внедрения ПО за год выполняет более 300 проектов в области CRM, лояльности, клиентского опыта, интеграционных решений, ускорения Time to Market (QA/CI/CD/DevOps), Big Data, Data Lake и машинного обучения. Мы сотрудничаем с такими компаниями, как Группа «М.Видео-Эльдорадо», НСПК, Сбербанк, Вымпелком, Ак Барс Банк, УРАЛСИБ Банк, Банк СОЮЗ, Рив Гош, НЛМК, Контрол Лизинг, Век Живи, Сбербанк, Утконос, Мультикарта и другими. Мы приглашаем в свою команду Архитектора/Тимлида команды разработки (Python).   Обязанности:  Анализ требований заказчика, согласование постановок с группой аналитики; Разработка концепций, архитектурных решений и подходов к реализации; Непосредственное участие в разработке и согласовании проектной документации (концепций, технических заданий, частных технических заданий, спецификаций реализации); Исполнение роли лидера группы: планирование работы, декомпозиция задач для команды разработки, отслеживание выполнения задач разработчиками/ старшими разработчиками, поддержание рабочей атмосферы в команде; Обеспечение требуемого качества исходных текстов кода (code review, автоматизированные средства синтаксического анализа кода и пр.); Контроль соответствия разработанных систем архитектурным требованиям; Взаимодействие со смежными подразделениями.  Требования:  Высшее образование; Опыт разработки высоконагруженных приложений (очень желательно на Python); Опыт работы в роли лидера группы от 4-х человек; Умение декомпозировать, ставить и контролировать задачи; Уверенные знания и опыт применения ООП, знание паттернов проектирования и умение применять их на практике; Отличное знание Python и опыт работы с технологиями:  Flask/Django Asyncio   Опыт работы с PostgreSQL, оптимизации запросов; Знание основных архитектурных стилей и принципов, микросервисной архитектуры; Опыт работы с in-memory и No-SQL решениями – Redis/MongoDB/Hazelcast или аналогами; Опыт работы с MQ и интеграционными шинами – Kafka/RabbitMQ или аналогами; Опыт проектирования REST API и документирования в инструментах Swagger или аналогичных; Умение ставить задачи Devops-инженерам по организации CI/CD.  Что мы предлагаем:  График работы 5/2 с 10.00 до 18.30, м. Савеловская (шаговая доступность – 5-7 минут); Работу в команде профессионалов с возможностью карьерного роста; Дружелюбную атмосферу внутри компании; Оформление по ТК РФ; Оклад + бонусы по проектам; Возможности для профессионального роста (внешнее и внутреннее обучение, сертификация); Возможность изучать английский язык в офисе; Корпоративные скидки на фитнес; Оформляется ДМС для сотрудников; Медицинский кабинет в офисе; Буфеты на территории компании, бесплатные завтраки. "
740,"  Юником24 - стремительно развивающаяся IT-компания, разрабатывающая высокотехнологичные решения для рынка финансирования и страхования.Основной продукт компании Юником24 - финансовый маркет unicom24.ru, специализирующийся на предоставлении услуг по подбору кредитов, страховых предложений, предложений по вкладам, а также финансовому и страховому консалтингу. Обязанности:   Проверка качества описания и документации;   Анализ требований и написание чек-листов/тест-кейсов;   Автоматизация интеграционных тестов;   Покрытие тестами всех API и сервисов компании;   Ведение базы данных багов (оформление новых багов, переоткрытие существующих);   Участие во всех процессах разработки: от создания фичи до выкладки ее в продакшн;   Выбор и внедрение современных средств тестирования и автоматизации тестирования;   Требования:  2-3 в качестве тестировщика не менее 3 лет; 1-2 года опыт автоматизации тестирования; 1-2 года владение одним из языков на уровне написания скриптов (bash, python, perl, java, php и т д); Автоматизация тестирования на python+selenium.  Условия:  Профессиональный рост в серьезном проекте федерального уровня; Дружная молодая команда; Комфортный современный офис. Удобно расположен, недалеко от метро; Возможна удаленная работа; Оформление по ТК РФ, социальный пакет; Полный рабочий день пн-пт; Конкурентная заработная плата с возможностью роста Интересные задачи; "
741,"В связи с объемом разрабатываемых проектов, международная IT-компания ищет программиста 1С, готового работать с клиентами по всей России из таких сфер как: нефтепереработка, металлургия и горная промышленность. Компания имеет 8 представительств в странах мира и около 90 офисов по России. Чем вы будете заниматься:  Разработка, доработка и внедрение программных продуктов 1С Переносы данных, переходы на другие редакции Интеграция 1С с другими системами Работа с использованием гибких методологий разработки Agile и SCRUM Вы НЕ будете: заниматься ИТС, обновлениями, сидеть на первой линии поддержки и т.п.  Что требуется:  Опыт работы с одной или двумя конфигурациями 1С: ERP 2.0, Бухгалтерия 8, ЗуП 2.5 и 3.0, Документооборот, БИТ.Финанс, Управление автотранспортом Программирование 1С Знание бизнес-процессов в предметной области (бух. учет, расчет зарплаты и кадровый учет, складской учет и т.д.)  Будет плюсом:  Наличие сертификата 1С Опыт работы с Agile и SCRUM Стремление к профессиональному росту Понимание процесса разработки проекта: анализ, разработка, сборка релизов, тестирование и др.  Что компания готова предложить:  Участие в проектах разного масштаба и уровнем задач Проектная команда профессионалов: разработчики 1С, менеджер проекта, разработчик-консультант и др. Обучение и развитие сотрудников: план развития + доступ к обучающим курсам от 1С Сертификация в фирме 1С за счет компании Участие в конференциях Возможность напрямую влиять на уровень зарплаты Официальное трудоустройство, белая зарплата 5/2 с 9 до 18 "
742,"Мы занимаемся разработкой ПО на заказ — в основном для компаний из США и Западной Европы. Нас около 600 человек, мы работаем в 4 офисах: центральный офис в Санкт-Петербурге, офисы разработки в Таганроге и Минске, а также офис продаж в Великобритании. Наши заказчики — крупные международные компании, лидеры в сферах обучения и сертификации, фармацевтики, здравоохранения, управления предприятием, медиа и безопасности. Большинство наших проектов — долгосрочные, и мы следим за тем, чтобы нам было удобно развивать их и поддерживать. Для этого мы применяем практики code review, architecture review, static code analysis, CI/CD, automated testing. В команду, работающую над решениями для российских и зарубежных заказчиков, требуется DevOps Engineer. На этой позиции Вас ожидает:  проектирование, настройка и сопровождение инфраструктуры отказоустойчивого веб хостинга; постоянное взаимодействие с командами разработки и сетевого администрирования; настройка и сопровождение инструментов деплоймента, мониторинга; решение проблем, связанных с работой окружений (development, test, production).  Мы ожидаем от Вас:  опыт работы с веб-хостинговым окружением от 3х лет; опыт работы с Kubernetes, Docker; опыт работы с веб серверами (Tomcat / Apache / Nginx); знание ОС Linux; знание скрикптового языка программирования (Bash / Ruby / Python и т.д.); владение инструментами и техниками мониторинга (Azure App Insights, Zabbix, Dynatrace и др.); понимание CI/CD, уверенные знания Git, Teamcity; разговорный и письменный английский на уровне не ниже Intermediate.  Будут плюсом:  опыт работы с сетями, знание TCP/IP, DNS, firewall, балансировщиков нагрузки (Nginx, F5); знание систем управления конфигурацией инфраструктуры (желательно Chef); знание и понимание принципов работы облачных сервисов: MS Azure / AWS / GCP.  Работа в Аркадии — это:  официальное оформление, белая зарплата, отпуск согласно ТК РФ; гибкий график работы; ДМС со стоматологией, 100% оплата больничных; достойная заработная плата; дружная команда и интересные задачи; возможности профессионального роста; посещение тренингов, конференций, прохождение сертификаций, курсы английского языка в офисе; внутренние семинары по обмену знаниями; удобные и современные рабочие места; корпоративные занятия спортом, командные тимбилдинги; релокационный бонус в размере месячной зарплаты для иногородних кандидатов при переезде. "
743,"«РТ Лабс» – АО «РТ Лабс» - одна из ведущих IT-компаний России! Разработанные нами решения формируют платформу для принципиально нового уровня жизни миллионов людей. Мы реализуем сложные, масштабные государственные проекты: развиваем электронное правительство (Портал госуслуг), разрабатываем решения в области информатизации здравоохранения (Региональная медицинская информационная система и телемедицина), создаем единую биометрическую систему. Мы ищем профессионалов, способных мыслить глобально и создавать тренды. У тебя есть шанс вписать свое имя в историю цифровизации страны! Сейчас нам требуется Главный DevOps инженер, способный быстро погрузиться в новые задачи и усилить нашу команду. Что ты уже умеешь:   Понимаешь, как работает Java GC   Разбирать java thread &amp; heap dump;   Автоматизировать процессы с помощью bash, ansible, python;   Разворачивать, настраивать Apache Tomcat;   Разворачивать, настраивать ActiveMQ, Kafka;   Разворачивать, настраивать, создавать специальные сборки и модули NGINX;   Работать с Docker;   Что ты будешь делать:   Участвовать в проектировании и разработке высоконагруженных сервисов;   Искать узкие места в работе сервисов;   Устанавливать приложения, настраивать и администрировать dev/test среды;   Поддерживать и развивать инструменты автоматизации;   Решать возникающие проблемы и инциденты, связанные с dev/test средами.   Что мы предлагаем:  Опыт работы над социально значимыми проектами; Официальное трудоустройство в соответствии с ТК РФ с первого рабочего дня; Конкурентную заработную плату; Квартальные и годовые бонусы; ДМС + стоматология и международная страховка; Компенсацию фитнеса; Интересную программу внутреннего и внешнего обучения; Бизнес-центр класса А+ ComCity (ст. м. Румянцево, 5 мин. пешком от метро); Гибкий график работы, полный рабочий день с возможностью выбора времени начала и окончания рабочего дня. "
744,"Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Кому подходит работа автором Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:   грамотный,   дотошный,   исполнительный,   ответственный,   умеете укладываться в дедлайн.   Мы предлагаем:   Задания на выбор.   Дополнительный доход, зависящий от Ваших умений.   Свободный график.   Работать удаленно у нас — прибыльно   Всегда много новых заказов.   Оплата стабильно раз в 2 недели.   Бонус за выполненные работы.   Как стать автором Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике. Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени. Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.  "
745,"На производство инженерного оборудования Обязанности: Технологическая поддержка производства  Сопровождение производства в части КД, ТД Составление УП для станков раскроя металла  Работа в автоматизированной графической программе по раскладке деталей на листообрабатывающем станке (координатно-вырубной и лазер). С обучением.   Работа в программе 1С по разработке спецификаций на изделия. Возможно обучение.   Требования:   Высшее образование   Навыки работы в графических программах, САПР - программах, 1С - желательно   Внимательность, аккуратность   Условия:  Рабочий день 5/2, с 7:30 до 16:30 Заработная плата на испытательный срок от 35000 руб на руки (по результатам собеседования). Белая зарплата, отпуск 28 кал.дн. Устройство по ТК РФ с первого дня работы "
746,"Сегодня АО «ВТУ» - это самая быстроразвивающаяся высокотехнологичная компания региона, готовая предоставить более 500 рабочих мест. Как активный инвестор, мы участвуем в социальных проектах Ванинского муниципального района с целью создания комфортной среды: строим жилье для сотрудников, базу отдыха, поддерживаем здоровый образ жизни-предоставляем дорожки для плавания в Районном Дворце спорта, оказываем помощь учреждениям культуры, физической культуры и спорта, школам и детским садам, больнице, помогаем людям, оказавшимся в трудной ситуации, являемся организаторами и спонсорами инженерно-технического ВТУ-класса. Обязанности:  Контроль за выбором и установкой прогрессивных программных и аппаратных средств для оптимизации технологических процессов. Обслуживание промышленных контроллеров, преобразовательной техники, периферии.  Требования:    Высшее техническое образование (специальности &quot;Промышленная электроника&quot;, &quot;Инженер по автоматизированным системам обработки информации&quot;, &quot;Инженер АСУ ТП&quot; и т.п.) Работа по специальности не менее 3 лет. Знание автоматизированных систем управления на базе программируемых логических контроллеров SIEMENS, ABB, Sew-Eurodrive и т.п. Базовые знания основ электротехники и преобразовательной техники. Знание принципов программирования  Условия:  Место работы: р.п. Ванино. Конкурентный уровень зп; Стабильность; Официальное трудоустройство; Полное соблюдение Трудового кодекса РФ; Расширенный социальный пакет; Компенсация затрат в случае переезда сотрудника; Для иногородних предоставляется жилье из жилого фонда АО «ВТУ» или компенсация затрат на аренду городского жилья; Возможность воспользоваться правом досрочного ухода на пенсию (&quot;северный стаж&quot;); Оплачиваемый отпуск 44 дня; Ежегодная оплата проезда к месту отдыха и обратно; Помощь в обустройстве детей в детском саду, школе. "
747,"Основные обязанности:  участие в проекте внедрения системы SAP PM (ТОРО) на платформе S/4 hana со стороны Заказчика; настройка системы, постановка ТЗ на разработку дополнительной функциональности, новых отчетов; тестирование и доработка системы по результатам тестирования; коммуникации с подрядчиком, подготовка и согласование документации ( КД, ПР, ТЗ).  Основные требования:  знание стандартной функциональности SAP PM; понимание специфики процессов ТОРО (в т.ч. мобильных), узких мест в системе и проектах; знание современных приложений и инструментов SAP для автоматизации процессов ТОРО; опыт участия на всех фазах одного или более проекта внедрения; опыт работы на позиции консультанта SAP PM или SAP ERP от 5 лет; опыт разработки отчетной документации (ПР, ТКП, функциональных спецификаций на разработку, описание настроек и разработок, сценариев тестирования и проч.).  Условия:  оформление в соответствии с ТК РФ; полис ДМС со стоматологией (с первого дня работы); корпоративная мобильная связь; конкурентоспособная заработная плата; внутреннее и внешнее обучение (корпоративный университет, конференции и тренинги); корпоративная электронная библиотека; место работы: м. Беговая, бизнес-центр &quot;NordStar. "
748,"Every story has a beginning. Deloitte is one of the leading international professional services firms that offers audit, consulting, corporate finance, enterprise risk, and tax and legal services. Deloitte is represented in six of Russia&#39;s largest cities, including Moscow, Saint Petersburg, Ufa, Ekaterinburg, Novosibirsk and Yuzhno-Sakhalinsk, where over 2,100 of our specialists are employed. Our vision and strategy, developed in collaboration with leadership and member firm partners from around the world, focuses on working together As One across geographic, functional, and business borders to deliver excellence in all of the services provided by the member firms. As a senior system engineer your tasks will be:  Administer Linux server systems: Centos, Debian, Ubuntu Automate everything, scripting: Ansible, Python, shell, git Design, deploy and manage on-premises Kubernetes clusters Develop and support CI/CD pipelines to help development teams: Gitlab, Jenkins, TeamCity Monitor, measure and alert: Elasticsearch, Prometheus, Grafana  The successful candidate should have:  Strong knowledge of Linux shell and scripting Knowledge of container virtualization Knowledge of modern application development stacks Accuracy and ability to work in team Projects and documentation: JIRA, Confluence Good English spoken and written "
749,"Компания «Инфосистемы Джет» — одна из крупнейших ИТ-компаний в России и СНГ. Подразделение консалтинга, разработки и внедрения ПО за год выполняет более 300 проектов в области CRM, лояльности, клиентского опыта, интеграционных решений, ускорения Time to Market (QA/CI/CD/DevOps), Big Data, Data Lake и машинного обучения. Мы сотрудничаем с такими компаниями, как Группа «М.Видео-Эльдорадо», НСПК, Сбербанк, Вымпелком, Ак Барс Банк, УРАЛСИБ Банк, Банк СОЮЗ, Рив Гош, НЛМК, Контрол Лизинг, Век Живи, Сбербанк, Утконос, Мультикарта и другими. Мы приглашаем в свою команду Архитектора команды разработки.   Обязанности:  Анализ требований заказчика, участие в формировании постановок задач с группой аналитики; Разработка концепций, архитектурных решений и подходов к реализации; Взаимодействие с заказчиком, защита архитектурных решений перед заказчиком; Непосредственное участие в разработке и согласовании проектной документации (концепций, технических заданий, спецификаций реализации, архитектурных документов); Исполнение роли лидера группы: планирование работы, декомпозиция задач для команды разработки, отслеживание выполнения задач разработчиками/ старшими разработчиками, поддержание рабочей атмосферы в команде; Обеспечение требуемого качества исходных текстов кода (code review, автоматизированные средства синтаксического анализа кода и пр.); Контроль соответствия разработанных систем архитектурным требованиям; Взаимодействие со смежными подразделениями.  Требования:  Высшее образование;  Опыт работы в области проектирования и разработки сложных гетерогенных систем от 5 лет;   Опыт руководства командой разработчиков от 3 лет;   Уверенное владение стеком технологий Java, Spring Framework  Отличное ориентирование в экосистеме Java:  Интеграционные фреймворки – Camel/Spring Integration, очереди и брокеры сообщений – Kafka/AMQ/Rabbit; Микросервисный стек Spring Cloud или же альтернативы из k8s; Легаси- J2EE и понимание что из него можно использовать, а что уже нет; BPM, BRMS; Стек ELK; Spring security, JWT, Oauth2; Альтернативные JVM языки.  Опыт работы с различными типами баз данных и хранилищ (SQL, Row/Column store, NoSQL, IMDG, key-value и т.д.), проектирования структур данных и выбора решений под различные виды нагрузок и объемы данных; Понимание проблем высоконагруженных систем и приложений; Умение выстроить процесс разработки и вывода в релиз заказного ПО. Коммуникабельность, системное и аналитическое мышление, лидерские навыки, умение быстро усваивать новую информацию, ответственность и ориентированность на результат.  Дополнительных плюсом будет:  Опыт работы со СМЭВ и государственными заказчиками; Опыт работ с российской криптографией.  Что мы предлагаем:  Работу в команде профессионалов с возможностью карьерного роста; Дружелюбную атмосферу внутри компании; График работы 5/2 с 10.00 до 18.30 (возможность сдвинуть начало рабочего дня); м. Савеловская (шаговая доступность – 5-7 минут); Оформление по ТК РФ; Оклад + бонусы по проектам; Возможности для профессионального роста (внешнее и внутреннее обучение, сертификация); Возможность изучать английский язык в офисе; Корпоративные скидки на фитнес; Оформляется ДМС для сотрудников; Медицинский кабинет в офисе; Буфеты на территории компании, бесплатные завтраки. "
750,"Сирена-трэвел - крупнейший дистрибьютор на рынке авиационных перевозок. Мы представляем b2b решения для агентств и авиакомпаний. Наш основной продукт- полностью автоматизированная система бронирования, позволяющая нашим партнерам упорядочить внутренний подход к автоматизации бизнеса, получать наибольшую конверсию и эффективность в процессе совершения каждой сделки Дирекция информационных технологий — департамент разработки инновационного high-load продукта, со сложной гетерогенной структурой, агрегирующего весь контент travel рынка, согласно последним трендам e-commerce. Обязанности:   Построение современной архитектуры eCom платформы, согласование архитектурных решений с другими платформами компании;   Участие в разработке и проектировании низкоуровневых решений.   Подготовка и анализ требований к продукту;   Формирование ТЗ на разработку.   Участие в code review, review постановки задач;   Интеграция портала с различными внешними информационными системами;   Участие в описании протоколов обмена данных между системами;   Консолидация данных, поступающих из различных источников;   Анализ структуры данных внешних АИС, сопряженных с автоматизированными информационными системами;   Глубокое понимание бизнес требований, в том числе участие в их формировании, трансляция бизнес-требований разработчикам;   Разработка алгоритмов для модулей поддержки принятия решений;   Определение форматов хранения и передачи данных;   Требования:   Опыт работы в должности аналитика/разработчика от 5 лет;   Знания в фундаментальных и прикладных областях математики (дискретная математика, цифровая обработка сигналов, статистические методы анализа данных)   Умение работать с обработкой больших объемов новых данных (анализ, систематизация, приоритизация)   Знание принципов ООП и методологии разработки/внедрения ПО, жизненного цикла программных продуктов;   Опыт проектирования и реализации SOAP/REST сервисов; работа с синхронным и асинхронным транспортом;   Глубокое понимание архитектуры системного и прикладного ПО, включая промышленные шины данных, web-сервисы, средства разработки приложений   Опыт эффективной организации хранения и работы с данными: реляционные СУБД (PostgreSQL), а так же NoSQL баз данных;   Опыт участия в построении отказоустойчивого высоконагруженного сервиса, знание моделей и методов обеспечения отказоустойчивости программных компонентов, схем кэширования;   Опыт разработки сложной бизнес-логики;   Реальный опыт в проектах highload и Big data будут являться преимуществом.   Приветствуется опыт работы в брокерской компании/банке/логистике   Условия:  Офис в шаговой доступности от м. Динамо, м. ЦСКА Высокая заработная плата Гибкий график, возможность выбрать начало рабочего дня; ДМС со стоматологией "
751,"Надоела холодная погода, дожди, не достаточно солнца? Приезжай в Краснодар! 120 км от Черного моря, 140 км от Азовского моря, субтропический климат – жаркое лето, умеренно-теплая зима, яркое солнце Что мы предлагаем?:  Локация – г. Краснодар, с компенсацией аренды жилья; Работа в крупном международном системном интеграторе; Сложные, но интересные задачи; Возможность влиять на свой заработок и постоянно его увеличивать; Полностью «белая» заработная плата и официальное оформление по ТК РФ; Профессиональный и карьерный рост (тренинги, семинары, библиотека, обмен опытом с другими офисами); Сертификация от фирмы 1С за счет компании; Мы поможем добиться твоих амбициозных целей!  Задачи, которые будут стоять перед тобой:  Разработка/изменение конфигураций на платформе 1С; Осуществление изменения настроек ПО в соответствии с функциональными требованиями пользователей; Внедрение разработанного ПО, интеграция его с существующими ИС; Адаптация современных методологий разработки ПО.  Чего мы ждем от тебя:  Знание типовых программных продуктов 1С. Сертификаты: 1С:Профессионал, 1С:Специалист – является Вашим преимуществом. Опыт работы от 1 года в разработке ПО на платформах 1С. "
