Number;"1.274 requirements"
3112;"Уверенный пользователь ms office (word, excel, power point, project, и т.д.)."
3113;"Понимание и знания принципов описания и оптимизации (автоматизации) бизнес-процессов; понимание принципов ведения различных видов учета"
3114;"Умение анализировать большие объемы информации и составлять модели в excel."
3115;"Способность быстро понять требования бизнес подразделений (пользователей ис), определить их приоритет, предложить варианты технических решениях и их влиянии на бизнес – процессы и эффективность работы пользователей системы понятным, общедоступным языком."
3116;"Желание вникнуть в проблему пользователя и разумно помочь."
3117;"Ответственность, ориентированность на результат, хорошие коммуникативные навыки, умение вести диалог, стрессоустойчивость, системность мышления и подхода, грамотная устная и письменная речь."
3118;"Проведение аудита информационных систем компании обеспечивающих реализацию бизнес-процессов по работе с персоналом;"
3119;"Формирование предложений по оптимизации бизнес-процессов;"
3120;"Разработка, внедрение и реализация проектов по повышению эффективности бизнес-процессов (включая формирование качественных технических заданий, планирование и контроль реализации проекта);"
3121;"Управление проектами по совершенствованию текущих и вновь реализуемых бизнес-процессов;"
3122;"Работа с внешними провайдерами;"
3123;"Разработка и внедрение нормативных документов, при моделировании/ оптимизации/ организации бизнес-процессов;"
3124;"Мониторинг исполнения процессов;"
3125;"Выявление и устранение конфликтующих документов системы управления;"
3126;"Выявление и устранение устаревших, неактуальных документов, регламентирующие бизнес-процессы;"
3127;"Участие в качестве эксперта при возникновении спорных ситуаций, в случае возникновения конфликтующих документов;"
3128;"Обеспечение функционирования системы электронного документооборота по направлению автоматизации бизнес-процессов."
3129;"Высшее образование, желательно наличие дополнительного образования в управлении проектами и описании/оптимизации бизнес-процессов;"
3130;"Успешный опыт разработки и внедрения бизнес-процессов;"
3131;"Опыт написания нормативных документов приветствуется;"
3132;"Навыки проектного управления;"
3133;"Высокий уровень самоорганизации, активная жизненная позиция, аналитическое и системное мышление;"
3134;"Стрессоустойчивость, умение работать с большим объемом информации и в режиме многозадачности;"
3135;"Уверенный пользователь пк (ms office)."
3136;"Сбор данных по бизнес-процессам, выполнение необходимых для расчета эффективности процесса замеров"
3137;"Анализ бизнес-процессов на основании собранной информации: оценка эффективности, выявление и оценка «узких мест», анализ возможности оптимизации и автоматизации бизнес-процесса"
3138;"Моделирование, и оптимизация бизнес-процессов предприятия"
3139;"Документальное сопровождение текущих бизнес-процессов"
3140;"Высшее образование, опыт работы по данному направлению приветствуется"
3141;"Предпочтение выпускникам специальностей:  информатик - экономист, экономист-математик"
3142;"Прикладная информатика в экономике (ивгу)"
3143;"Информатика и вычислительная техника (игэу)"
3144;"Прикладная математика и компьютерные науки (ивгу)"
3145;"Стандартизация и сертификация (ивгпу)"
3146;"Математические методы в экономике (игхту)"
3147;"Пк- уверенный пользователь (word, excel)"
3148;"Хорошее знание системного подхода к описанию бизнеса организации"
3149;"Описание бизнес-процессов (регламентов, инструкций, процедур, их согласование и утверждение)"
3150;"Опыт постановки технических заданий для автоматизации бизнес-процессов"
3151;"будет преимуществом: знание статистических методов ретроспективного анализа продаж, анализа рядов, формирование прогнозов заказов на основании аналитики продаж. опыт в анализе продаж и формировании предложений по оптимизации. опыт работы в loginom academic или других аналитических программах. "
3152;"Целеустремленность, добросовестность, коммуникабельность, умение работать в коллективе"
3153;"Аналитический склад ума, умение работать с большим количеством данных, обучаемость , способность заниматься несколькими проектами одновременно"
3154;"Создание библиотек струнного транспорта"
3155;"Имитационное моделирование транспортных процессов всех видов транспорта, в том числе посадки/высадки и движения по станции, погрузки/выгрузки в терминале и прочее"
3156;"Имитационное моделирование технологических процессов всех видов транспорта"
3157;"Моделирование пассажиропотоков и прочее"
3158;"Изучение и оптимизация логистических схем с последующем написанием методических рекомендаций для смежных подразделений компании"
3159;"Технико-экономическое обоснование предлагаемых методик и схем перевозочного процесса"
3160;"Проработка и оптимизация поступивших проектных решений от смежных подразделений на предмет необходимости, уместности и достаточности в заданных условиях   "
3161;"Уметь моделировать пассажиропотоки внутри зданий и сооружений"
3162;"Уметь моделировать перевозочный процесс: от появления потребности в перевозке, заканчивая достижением цели"
3163;"Понимать принципы моделирования и распределения пассажиропотока"
3164;"Уметь моделировать технологические процессы"
3165;"Понимать пути оптимизации получившихся результатов"
3166;"Уметь моделировать складские процессы, перемещение грузов согласно технологии погрузочно-разгрузочных работ"
3167;"Высшее техническое с уклоном в программирование, статистику, кибернетику."
3168;"Знание sql, python"
3169;"Знание методов математического моделирования."
3170;"Опыт автоматизации процесса расчетов матмоделей желателен"
3171;"Опыт работы от 3-х лет"
3172;"Разработка и развитие клиент-серверного программного обеспечения для нужд компании"
3173;"Развитие технологий обмена информацией (api, очереди сообщений, почтовые сервисы, сервисы рассылок, и т.д. форматы: xml, json)"
3174;"Delphi 10.3"
3175;"Microsoft sql server 2017"
3176;"опыт разработки на delphi (использование пакета devexpress), t-sql не менее 3х лет; "
3177;"уверенное знание microsoft sql server, опыт написания запросов/процедур/функций и проектирования базы; "
3178;"умение разбираться в чужом коде; "
3179;"умение тестировать свой код "
3180;"Описание и анализ бизнес-процессов, автоматизация процессов в учетных системах (1с бухгалтерия, 1с документооборот, битфинанс);"
3181;"Разработка критериев оценки эффективности процесса;"
3182;"Регламентирование процессов;"
3183;"Внедрение бюджетирования."
3184;"Опыт описания и анализа бизнес-процессов на предприятиях с разветвленной организационной структурой;"
3185;"Знание процессного подхода, способов и механизмов оптимизации процессов;"
3186;"Опыт написания и контроля исполнения тз для автоматизации процессов;"
3187;"Практические навыки бюджетирования."
3188;"Руководство проектами по разработке и сопровождению конфигураций на базе &quot;1с предприятие&quot;."
3189;"Своевременное исправление и доработка ис компании в соответствии с изменениями законодательства, нормативных документов регулирующих органов."
3190;"Разработка методов и форм ведения учета в компании."
3191;"Формализация бизнес-процессов компании, подлежащих автоматизации."
3192;"Постановка технических заданий на выполнение работ по сопровождению ис компании, участие в реализации проектов и написании программного кода."
3193;"Тестирование и исправление выполненных работ по доработке ис на базе конфигураций &quot;1с предприятия&quot;."
3194;"Поддержка пользователей по работе с ис, обучение персонала компании и удаленных подразделений."
3195;"Высшее техническое."
3196;"Опыт работы в аналогичной должности от 3-х лет."
3197;"Опыт руководством проектов в области разработки &quot;1с предприятие&quot;."
3198;"Знание современных средств программирования."
3199;"Знание основ web программирования."
3200;"Проведение аудита информационных систем компании обеспечивающих реализацию бизнес-процессов по работе с персоналом;"
3201;"Формирование предложений по оптимизации бизнес-процессов;"
3202;"Разработка, внедрение и реализация проектов по повышению эффективности бизнес-процессов (включая формирование качественных технических заданий, планирование и контроль реализации проекта);"
3203;"Управление проектами по совершенствованию текущих и вновь реализуемых бизнес-процессов;"
3204;"Работа с внешними провайдерами;"
3205;"Разработка и внедрение нормативных документов, при моделировании/ оптимизации/ организации бизнес-процессов;"
3206;"Мониторинг исполнения процессов;"
3207;"Выявление и устранение конфликтующих документов системы управления;"
3208;"Выявление и устранение устаревших, неактуальных документов, регламентирующие бизнес-процессы;"
3209;"Участие в качестве эксперта при возникновении спорных ситуаций, в случае возникновения конфликтующих документов;"
3210;"Обеспечение функционирования системы электронного документооборота по направлению автоматизации бизнес-процессов."
3211;"Высшее образование, желательно наличие дополнительного образования в управлении проектами и описании/оптимизации бизнес-процессов;"
3212;"Успешный опыт разработки и внедрения бизнес-процессов;"
3213;"Опыт написания нормативных документов приветствуется;"
3214;"Навыки проектного управления;"
3215;"Высокий уровень самоорганизации, активная жизненная позиция, аналитическое и системное мышление;"
3216;"Стрессоустойчивость, умение работать с большим объемом информации и в режиме многозадачности;"
3217;"Уверенный пользователь пк (ms office)."
3218;"Подготовка архитектурных и инфраструктурных решений mes систем для хлебпром (фокус на myplant esteve), защита проекта(ов);"
3219;"Сбор требований, выбор поставщика(ов), как оборудования, так и программного обеспечения;"
3220;"Взаимодействие с производственными и технологическими подразделениями, понимание и построение приоритетности выполнения задач;"
3221;"Выполнение внедрения mes как собственными силами, так и выбранным подрядчиком;"
3222;"Подготовка программного обеспечения и написание специфических программ под требования хлебпром;"
3223;"Тиражирование системы и ее последующее сопровождение;"
3224;"Дальнейшее развитие mes, автоматизация технологических процессов на производственной(ых) площадке(ах) хлебпром;"
3225;"Интеграция mes систем(ы) со scada, erp, datawarehouse, wms;"
3226;"Разработка и настройка средств мониторинга или интеграция с таковыми;"
3227;"Организация работ и непосредственное участие в разработке и внедрении функциональности mes;"
3228;"Управление поставщиками и подрядчиками;"
3229;"Подготовка обучающих материалов для пользователей, проведение обучений"
3230;"Высшее образование в области ит;"
3231;"Опыт работы в роли архитектора информационных систем (обязателен опыт работы с mes) от 3-х лет;"
3232;"Знания рынка mes систем в россии и за ее пределами (преимущество: знакомство с линейкой программных продуктов mes от компании esteve);"
3233;"Понимание принципов построения архитектуры систем управления производством (mes), состава систем mes, архитектурного ландшафта, функциональности;"
3234;"Наличие завершенного(ых) проекта по реализации mes;"
3235;"Знание специфики вопросов интеграции mes систем с прочими ит системами;"
3236;"Знания в области информационной безопасности;"
3237;"Понимание основных этапов обработки и анализа данных, инструментов и методов управления передачей и обработкой больших массивов транзакционных и мастер данных;"
3238;"Опыт создания приложений для контроллеров siemens семейства simatic;"
3239;"Понимание принципов работы инженерных систем пищевого производства. преимущество: опыт работы в пищевой промышленности."
3240;"Установка/переустановка/настройка ос (windows 7,8,10), клиентских приложений"
3241;"Решение проблем, возникающих у пользователей в области как софта, так и &quot;железа&quot; (удаленно или на месте)"
3242;"Оборудование рабочих мест и настройка по для новых сотрудников."
3243;"Профильное высшее образование."
3244;"Опыт работы в системным администратором от 4х лет."
3245;"Программирование delphi, oracle;"
3246;"Знание бухгалтерии, опыт работы с бухгалтерией."
3247;"Знание oracle;"
3248;"Опыт работы в среде разработки delphi."
3249;"разработка генераторов тестовых данных; "
3250;"разработка утилит и скриптов автотестов; "
3251;"разработка утилит мониторинга; "
3252;"составление тест-планов и тест-кейсов; "
3253;"функциональное тестирование; "
3254;"интеграционное и нагрузочное тестирование; "
3255;"тестирование web-приложений; "
3256;"комплексное тестирование корпоративного программного обеспечения; "
3257;"моделирование ситуаций, приводящих к ошибкам; контроль исполнения ошибок "
3258;"анализ результатов тестирования, составление отчетов по результатам тестирования; "
3259;"классификация ошибок и заведение их в багтрекер; "
3260;"оказание поддержки пользователям, для выявления проблем с корпоративным по; "
3261;"взаимодействие с разработчиками, аналитиками. "
3262;"понимание основных принципов работы и технологий http, rest, json, xml; "
3263;"написание запросов sql, pl/sql; "
3264;"опыт web-разработки (php, javascript) и/или c#; "
3265;"навыки администрирования; "
3266;"опыт работы с инструментами автоматизированного тестирования; "
3267;"знание теории, принципов и методологии тестирования; "
3268;"опыт написания тест-кейсов по спецификациям и без; "
3269;"понимание цикла разработки по; "
3270;"опыт ручного тестирования программного обеспечения; "
3271;"опыт работы с баг-трекинг системами "
3272;"аналитический склад ума. способность к глубокому анализу систем и разложению их на составные части; "
3273;"способность выявлять уязвимые места систем, способность к поиску дефектов. "
3274;"Обслуживание систем асу тп на базе программируемых логистических контроллеров obeh, omron, siemens;"
3275;"Программирование промышленных контроллеров на языках fbd, st, cfc;"
3276;"Разработка и внедрение новых проектов автоматизации узлов и механизмов, интеграция в существующие асу;"
3277;"Усовершенствование существующих систем автоматизации технологических процессов;"
3278;"Обслуживание и создание систем на базе scada;"
3279;"Организация сетей profibus, ethernet;"
3280;"Подключение и настройка энкодеров, датчиков положения, перемещения, скорости, уровня и тп.;"
3281;"Документирование новых проектов: написание инструкций, разработка электрических схем автоматики, спецификаций и т.д.;"
3282;"Обслуживание частотных преобразователей lenze, sew eurodrive, mitsubishi mr-j3, emerson unidrive sp, abb;"
3283;"Подбор комплектующих, сборка шкафов управления, запуск, отладка."
3284;"Высшее техническое образование;"
3285;"Опыт работы в обслуживании систем асу тп на базе программируемых логистических контроллеров obeh, omron, siemens."
3286;"Выбор технологий и оборудования уровня инфраструктуры"
3287;"Согласование технических спецификаций моделей оборудования уровня инфраструктуры"
3288;"Проведение тендеров и закупок серверного и сетевого оборудования"
3289;"Установка и обслуживание оборудования"
3290;"Настройка и контроль оборудования"
3291;"Установка и настройка программного обеспечения на серверах и сетевом оборудовании"
3292;"Администрирование серверов ms sql (в связке с 1с)"
3293;"Формирование и контроль бюджета"
3294;"Высшее техническое образование"
3295;"аудит и развитие it-архитектуры:• системы мониторинга ит-инфраструктуры• политика it-безопасности• внедрение систем информационной безопасности• серверное по• сетевое по • ms sql в связке с 1с.• системы хранения данных• системы контроля доступа и видеонаблюдения• системы удаленного доступа• расчёт финансовых показателей проектов, бюджетирование "
3296;"Разработка автоматических систем контроля рисков."
3297;"Работа в scrum-команде"
3298;"Опыт разработки на python от 2 лет"
3299;"Опыт численного решения задач оптимизации."
3300;"Опыт работы с базами: postgresql, redis"
3301;"Самоконтроль: написание юнит и блочных тестов"
3302;"знание принципов и архитектур построения хранилищ данных и bi - систем. "
3303;"координация деятельности и консультирование рабочих групп, проектных команд по реализации аналитических задач; "
3304;"взаимодействие со смежными подразделениями по задачам; "
3305;"консультирование при интеграции результатов аналитических проектов, продуктов, сервисов в операционную деятельность компании. "
3306;"высшее образование (возможные специальности: системный анализ, информатика, математика, экономика); "
3307;"опыт работы управления исследовательскими командами (аналитическими рабочими группами); "
3308;"желателен опыт работы специалиста-аналитика не менее 3 лет (бизнес-аналитиком, аналитиком данных, data-scientist, проектным аналитиком) "
3309;"знания методов анализа деятельности (систем и бизнес-процессов) предприятия и его подразделений; основ математической статистики и машинного обучения; "
3310;"опыт применение различных компьютерных программ и продуктов для бизнес-анализа (r, phyton и др.); "
3311;"знание технологии визуализации данных и отчетности; "
3312;"знание основы теории организации, финансового менеджмента, маркетинга. "
3313;"организовывать работы по обслуживанию, поддержанию работоспособности и модернизации эксплуатируемых средств и систем комплексной автоматизации и телемеханизации производственных процессов. 2.1.4. обеспечивать повышение эффективности использования средств связи, вычислительнойтехники, автоматизированных систем управления технологическими процессами (асу тп) иавтоматизированных систем управления предприятием (асуп), сокращение затрат на услугисвязи.  организовывать работы по строительству, реконструкции и эксплуатацииинформационно-вычислительных сетей, высокоскоростных линий связи на adsl модемах,систем радиодоступа в подразделениях и на промысловых объектах общества."
3314;"обеспечивать бесперебойную работу всего комплекса информационно-вычислительных сетей общества, организацию внутренней и корпоративной почты, антивирусной защиты и архивирования информационных ресурсов общества. "
3315;"организовывать ремонт и техническое обслуживание средств вычислительной техники, периферийных устройств, копировально-множительных аппаратов в структурных подразделениях общества. "
3316;"организовывать поддержку и сопровождение на рабочих местах пользователей операционных систем, графических и текстовых редакторов, приложений к операционным системам, оказание консультационных услуг по всем структурным подразделениям общества. "
3317;"организовывать внедрение и развитие систем сбора и обработки нефтепромысловой информации, администрирование, сопровождение и развитие систем, генерирование ежемесячных отчетов. "
3318;"организовывать техническое обеспечение систем «platinum», sap r/3, lotus/domino «делопроизводство», «босс-референт», «oilinfosystem», «сгтранспорт», «телескоп+», «genesis-32», «wincc», «cimplisity» «нефтепромысловые трубопроводы», системных, прикладных программных продуктов (обслуживание серверов и компьютерного оборудования), ежесуточное архивирование баз данных, развитие и сопровождение систем. "
3319;"осуществлять разработку технических условий и технических заданий, анализ проектов и контроль за строительством асу тп по всем строящимся объектам общества, организацию и координацию работ по наладке, капитальному ремонту, модернизации и реконструкции систем автоматизации и связи на объектах общества. "
3320;"организовывать работы по развитию систем связи, решению вопросов с органами госсвязьнадзора, по контролю за деятельностью операторов связи, оказывающих услуги обществу, учету затрат на услуги связи, внедрению мероприятий по их снижению и формированию ежемесячных отчетов по затратам. "
3321;"обеспечивать формирование реестров на финансирование работ и закупку оборудования, необходимого для производственной деятельности по разделам бизнес-плана «автоматизация, связь, телемеханизация». "
3322;"организовывать внедрение систем, обеспечивающих производственную деятельность технологических служб общества. "
3323;"Высшее техническое образование (магистр или специалист) и стаж работы по профилю не менее 7 лет, в том числе на руководящих должностях не менее 4 лет, или высшее техническое образование (бакалавр) и стаж работы по профилю не менее 9 лет, в том числе на руководящих должностях не менее 5 лет"
3324;"Управление проектами в области прикладного программного обеспечения;"
3325;"Переход на новые версии по;"
3326;"Реализация инфраструктурных проектов;"
3327;"Планирование и управление ресурсами, осуществление текущей деятельности в соответствии с утвержденным планом, контроль и отчетность;"
3328;"Техническая экспертиза проекта. подготовка и расчет проектных ресурсов;"
3329;"Организация работ по управлению запросами на изменения;"
3330;"Подготовка и выполнение плана проекта, плана приёмо-сдаточных испытаний, проектной документации;"
3331;"Организация взаимодействия с внутренними клиентами, подрядчиками и поставщиками во время реализации проекта (решение административных вопросов, ведение договоров, контроль исполнения и отчеты о проделанной работе)."
3332;"Высшее техническое образование со специализацией в области информационных технологий."
3333;"Преимуществом является наличие сертификатов, курсы по всей линейке 1с, ms windows serwer, ms sql."
3334;"Знакомство со служба windows active directory на уровне администрирования учетных записей пользователей и умения формировать отчеты как через gui так и powershell."
3335;"Опыт работы с системами обработки заявок, учетными системами 1с (желательно)."
3336;"Знание ms excel, ms visio, ms project."
3337;"Опыт успешного ведения проектов автоматизации учета/управления/документооборота на предприятии, желательно в должности менеджера проекта, заместителя/руководителя отдела автоматизации от 2 лет."
3338;"Преимуществом является участие в проектах автоматизации на базе продуктов 1с."
3339;"Наличие опыта работы с удаленными заказчиками и удаленной командой проекта (желательно)."
3340;"Опыт работы в аутсорсинговой компании (желательно)."
3341;"Грамотность письменной и устной речи. убедительные навыки коммуникации."
3342;"Умение работать с большим объемом информации в режиме многозадачности."
3343;"Умение систематизировать и описывать бизнес процессы."
3344;"Стрессоустойчивость."
3345;"Навыки коллективной работы по разработке программ"
3346;"Опыт подготовки проектной документации (спецификации/тз/проектные решения)."
3347;"Приветствуется:"
3348;"Умение построения диаграмм (нотации и инструменты bpmn, uml, archimate 2.0)."
3349;"Практический опыт использования решений по математическому анализу и линейной оптимизации (поиск решений в еxcel, cplex, gurobi, lindo, gams и др)."
3350;"Практический опыт выполнения расчётов показателей эффективности проекта."
3351;"поддержка текущий инфраструктуры ci/cd "
3352;"развертывание новых цепочек ci/cd "
3353;"оптимизация существующих ci/cd схем "
3354;"Аналогичный опыт работы от 2-х лет"
3355;"Знание сетей, опыт сетевого администрирования"
3356;"Понимание принципов семантического версионирования и gitflow"
3357;"Опыт работы с инструментами сборки java проектов: maven (gradle будет плюсом)"
3358;"Опыт работы с системами контейнеризации и оркестрации контейнеров docker, kubernetes"
3359;"Опыт работы с репозиторием артифактов sonatype nexus"
3360;"Опыт работы с системами ci\cd jenkins, teamcity"
3361;"Опыт работы системы контроля версий git, gitlab"
3362;"опыт написания скриптов автоматизации на bash "
3363;"технический английский "
3364;"Организация необходимых работ для обеспечения непрерывного и качественного предоставления услуг связи клиентам на территории тюменской области;"
3365;"Организация необходимых работ для предоставления услуг клиентам отделения в согласованные сроки и с должным качеством;"
3366;"Формирование плана работ по содержанию сети связи на территории отделения в надлежащем состоянии;"
3367;"Организация выполнения централизованных программ развития и модернизации телекоммуникационной сети на территории отделения;"
3368;"Осуществление контроля исполнения планов работ по содержанию сети связи на территории отделения выполняемых отделом технической эксплуатации филиала;"
3369;"Контроль работ по инсталляции/демонтажу оборудования передачи данных;"
3370;"Рассмотрение и согласование документации по модернизации оборудования связи;"
3371;"Контроль заключения и исполнения договоров со сторонними операторами;"
3372;"Осуществление приемки построенных объектов связи у подрядчиков и их сдача в эксплуатацию;"
3373;"Контроль соблюдение режима работы оборудования, правил его эксплуатации;"
3374;"Участие в подготовке инженерно-технических решений;"
3375;"Работа с надзорными органами."
3376;"Опыт работы в телекоммуникационной сфере, либо в системном интеграторе;"
3377;"Опыт работы на аналогичной должности будет вашим преимуществом;"
3378;"Опыт в управлении персоналом;"
3379;"Знание законодательства и нормативных документов в области телекоммуникаций;"
3380;"Знания правил норм охраны труда и техники безопасности;"
3381;"Опыт эффективного взаимодействия с регулирующими государственными органами;"
3382;"Опыт работы с проектной документацией по строительству объектов связей сетей передач данных;"
3383;"Навыки ведения переговоров."
3384;"руководство группой по автоматизации бизнес-процессов управленческих и поддерживающих систем; "
3385;"бизнес-аналитика существующих процессов; "
3386;"поиск потенциала оптимизации; "
3387;"создание автоматизированных решений; "
3388;"сопровождение имеющихся информационных систем; "
3389;"внедрение информационных систем; "
3390;"интеграция систем между собой; "
3391;"Внедрение в процесс bpm-системы ."
3392;"Высшее профессиональное образование, техническое направление;"
3393;"Опыт работы в данной должности не менее 1 года."
3394;"Обеспечение безотказной работы асутп"
3395;"Участие в проектировании и внедрении асутп"
3396;"Участие в проектах интеграции асутп с другими производственными и учетными системами"
