;Required skill
7511;настройка wi-fi роутеров оргтехники периферии;1
7512;сдача отчетности в офис;1
7513;продажа дополнительных услуг по ремонту и настройке пк;1
7514;компьютерная грамотность: навыки работы с компьютерами и компьютерной техникой-обязательно;1
7515;желателен навык работы с людьми (сфера услуг консультирование розничные продажи);1
7516;высокий уровень стремления к поставленным целям;1
7517;коммуникабельность способность выявить потребность клиента;1
7518;обеспечение в головном офисе бесперебойной работы офисных приложений сетевого и серверного оборудования систем хранения данных источников бесперебойного питания и программного обеспечения установленного на данном оборудовании;1
7519;обеспечение в головном офисе бесперебойной работы систем виртуализации ;1
7520;обеспечение информационной безопасности в зоне своей ответственности;1
7521;обеспечение целостности и сохранности данных на серверном оборудовании и систем хранении данных (в зоне своей ответственности);1
7522;высшее профессиональное (техническое или инженерно-экономическое) образование;1
7523;более 3 (трех) лет соответствующего опыта работы;1
7524;уверенное знание персонального компьютера (на уровне настройки локальных домашних сетей);1
7525;опыт ремонта офисной техники или другого оборудования приветствуется;1
7526;обучаемость ответственность пунктуальность;1
7527;техническое обслуживание pos-оборудования на территории заказчика;1
7528;замена расходных материалов;1
7529;диагностика неисправностей;1
7530;дистанционное решение it-проблем у сотрудников офисов и сотрудников торговых точек;1
7531;качественное и точное документирование действий предпринятых для решения заявок ;1
7532;своевременное выполнение заявок в help desk;1
7533;знание основных компьютерных программ принципов функционирования компьютерной техники и периферии;1
7534;желателен опыт работы с торговым оборудованием периферийными устройствами ;1
7535;личностные качества: ответственность коммуникабельность быстрая обучаемость внимательность;1
7536;отличные знания операционных систем для рабочих станций ms windows 7-10 ;1
7537;знакомство с офисными приложениями ms office архиваторами и прикладными приложениями в уровне достаточном для помощи пользователям с рядовыми проблемами ;1
7538;знакомство с организацией локальной сети на основе домена ms windows server;1
7539;знание основ функционирования и построения локальных сетей (в тч что такое dhcp и dns);1
7540;знания архитектуры современных пк (железо процесс загрузки ос и тп);1
7541;грамотная речь активная и позитивная жизненная позиция)));1
7542;поддержка пользователей в качестве первой линии ;1
7543;настройка новых пк ремонт имеющихся;1
7544;регламентные работы с парком пк;1
7545;монтажные работы по прокладке лвс ip виденаблюдения (редко);1
7546;работа в команде системных администраторов по обслуживанию офиса и сети магазинов;1
7547;администрирование ремонт обслуживание серверов компьютеров офисной оргтехники и прочего оборудования ит;1
7548;решение инцидентов и технических проблем;1
7549;участие в открытии новых торговых точек;1
7550;ответственность за результат серьезное отношение к работе;1
7551;знание windows на уровне администратора ad gpo терминалы;1
7552;базовые знания mikrotik приветствуются;1
7553;опыт монтажа скс/лвс;1
7554;приветствуется опыт работы с 1с подключаемым оборудованием ккм;1
7555;опыт работы в сетевых компаниях многофилиальных структурах является преимуществом;1
7556;выезд на объект заказчика;1
7557;качество при работе сдача по сроку;1
7558;пунктуальность ответственность;1
7559;диагностика и исправление сбоев и неисправностей;1
7560;настройка и конфигурирование оборудования и по;1
7561;администрирование информационных систем и серверов;1
7562;работа с медицинской информационной ситемой;1
7563;понимание принципов построения и работы компьютерных сетей: сетевые протоколы и технологии навыки разводки скс и настройки коммутационного оборудования;1
7564;администрирование и постоянный мониторинг работоспособности серверного оборудования на базе ос windows server 2012r2 и gnu/linux;1
7565;администрирование и поддержка системных служб: ad gpo dns dhcp и тп;1
7566;администрирование и поддержка vmware esxi vcenter;1
7567;администрирование и поддержка системы ip телефонии на базе asterisk;1
7568;администрирование и поддержка почтового сервера exchange 2013 + orf;1
7569;администрирование и поддержка офисного по ms office 365 microsoft teams;1
7570;администрирование и поддержка системы резервного копирования veeam;1
7571;опыт администрирования ос семейства windows сертификаты microsoft приветствуются;1
7572;обязательный опыт администрирования microsoft exchange;1
7573;опыт работы с системами мониторинга типа zabbix;1
7574;знание принципов работы сервисов и основных протоколов (ad dns dhcp smtp imap);1
7575;знание и опыт работы с системами резервного копирования ( veeam или acronis);1
7576;навыки траблшутинга с использованием встроенных и внешних инструментов;1
7577;опыт работы с сетевым оборудованием (cisco huawei);1
7578;создание и актуализация документации;1
7579;поддержка рабочих мест пользователей (компьютеры мобильные устройства периферия пользовательское по);1
7580;настройка/наладка и ремонт текущего парка ноутбуков пк;1
7581;консультации пользователей по вопросам оборудования;1
7582;поддержка работы лвс;1
7583;установка и настройка пользовательского по;1
7584;проведение профилактических работ по обновлению и проверке по;1
7585;заведение пользователей в active directory;1
7586;техническое образование: среднее специальное и выше;1
7587;уверенное знание windows 10+;1
7588;навыки работы с компьютерным железом (диагностика неисправностей сборка пк чистка пк и ноутбуков);1
7589;прием регистрация решение обращений поступающих в службу технической поддержки;1
7590;осуществление технической поддержки рабочих мест конечных пользователей в том числе: персональных компьютеров мониторов принтеров телефонных аппаратов сети;1
7591;оперативное выполнение заявок на техническое обслуживание;1
7592;поддержание высокого уровня обслуживания пользователей;1
7593;поддержка систем видеоконференций;1
7594;управление настройками операционных систем конечных пользовательских устройств;1
7595;подключение/отключение конечных пользовательских устройств;1
7596;работа в офисе без разъездов!!;1
7597;поддержка сотрудников офиса не it-аутсорсинг!;1
7598;опыт работы с аналогичным функционалом не менее 2-х лет;1
7599;желателен опыт работы в одном лице;1
7600;базовые it-знания: dns dhcp vpn ad;1
7601;знание аппаратной части пк знание периферии и оргтехники;1
7602;навыки установки и сопровождения по;1
7603;знание операционных систем семейства windows;1
7604;опыт работы со средствами удаленного администрирования;1
7605;опыт установки и настройки оргтехники;1
7606;анализ и описание бизнес-процессов проекта по созданию информационно-аналитической системы;1
7607;формирование функциональных требований к системе;1
7608;контроль (ведение) выполняемых работ по проекту;1
7609;методологическая поддержка проекта;1
7610;подготовка документации по сопровождению процесса реализации проекта;1
7611;высшее образование (техническое/математическое) выпускники вузов учащиеся последних курсов;1
7612;уверенные пользователь пк и ms office (обязательны знания: ms word ms excel ms outlook ms visio ms power point ms project);1
7613;опыт описания бизнес-процессов навыки написания sql-запросов – как дополнительное преимущество;1
7614;разработка и согласование концепции цели и основных этапов проектам ( национальная система маркировки и прослеживаемости товаров) ;1
7615;реализация проекта в согласованные сроки в рамках выделенного бюджета и с требуемым уровнем качества;1
7616;ведение документации по проектам;1
7617;разработка методических документов материалов для представления в федеральные органы исполнительной власти;1
7618;оперативное и стратегическое планирование реализации проекта создания по;1
7619;определение возможности использования готовых программных продуктов;1
7620;подготовка и внесение изменений в проекты;1
7621;подготовка и систематическое ведение отчетных документов о работе проекта: протоколов встреч реестров задач справок для руководства пр;1
7622;выявление рисков грозящих проекту организация мероприятий по их устранению или минимизации влияния;1
7623;контроль выполнения задач внешними и внутренними участниками проекта;1
7624;подтвержденный опыт участия в создании и/или развитии крупных инженерных или it-проектов приветствуется опыт руководства такими проектами или отдельными направлениями таких проектов ;1
7625;умение структурирования и систематизации больших объемов информации ;1
7626;опыт проведения встреч на уровне вторых лиц международных компаний ;1
7627;опыт в подготовке отчетных документов понимание правил и опыт ведения документооборота ;1
7628;приветствуется знание английского языка ;1
7629;приветствуются знания методологий проектирования и разработки по ;1
7630;приветствуются знания методологии финансового и бухгалтерского учета налогового учета производственного учета процессов бюджетирования ;1
7631;приветствуются знания логистических и товарных операций ;1
7632;понимание принципов организации разработки и технической поддержки информационных систем в группе компаний;1
7633;обязательны знания жизненного цикла разработки и сопровождения по;1
7634;широкий технический кругозор: знание основных продуктов и решений на рынке it (вычислительная и сетевая инфраструктура схд иб облачные сервисы виртуализация devops развёртывание и поддержка сред программные инфраструктурные решения решения в области управления и мониторинга;1
7635;опыт работы продакт-менеджером от 3-ех лет действующий продукт - web-решение или платформа-агрегатор;1
7636;доработки обновление конфигураций зуп и бп 83 настройка и сопровождение обмена между ними;1
7637;программирование на управляемых формах;1
7638;работа с запросами скд разработка функционала написание отчетов и обработок;1
7639;интеграция с другими информационными системами и настройка обмена данных;1
7640;работа с пользователями формирование тз консультация;1
7641;знание языка программирования 1с;1
7642;понимание основных принципов бухгалтерского управленческого и кадрового учетов;1
7643;знание типовых конфигураций бп зуп;1
7644;знание встроенного языка sql;1
7645;образование: высшее;1
7646;знание ин языков: английский приветствуется но не обязательно;1
7647;опыт работы: участие в построении web интерфейсов опыт координации их реализации;1
7648;профессиональные компетенции: понимание современных технологий в построении web систем хорошие навыки управления сложными проектами и опыт внедрения этих проектов умение работать с большими объемами данных и аналитикой;1
7649;личные качества: коммуникативные способности системное мышление умение налаживать и поддерживать конструктивные отношения публичность;1
7650;участие в проекте внедрения (и последующего сопровождения) 1с:бухгалтерия государственного учреждения;1
7651;анализ предметной области (сбор требований);1
7652;описание бизнес-процессов («as-is» «to bе»);1
7653;разработка технических заданий (требований);1
7654;проведение тестирования;1
7655;участие в переносе данных из текущей системы учета;1
7656;высшее образование (экономическое);1
7657;знание предметной области (практический опыт обязательно);1
7658;значение нормативно-правовых актов по функциональному направлению;1
7659;опыт работы бизнес-аналитиком на проектах внедрения 1с: бухгалтерия государственного учреждения;1
7660;знание всех участков учета и отчетности государственного учреждения;1
7661;умение описывать технические требования для необходимой доработки системы;1
7662;оформление всей требуемой проектной документации;1
7663;опыт работы на проектах внедрения 1с бухгалтерия государственного учреждения;1
7664;практический опыт настройки и внедрения продуктов 1с;1
7665;контроль проведения работ по бесперебойной и технически правильной эксплуатации и техническому обслуживанию средств комплексной автоматизации контрольно-измерительных приборов сопровождением программного обеспечения асутп систем противопожарной защиты;1
7666;участие в приемочных испытаниях комплексном опробовании объектов завершенных капитальным строительством контроль пуско-наладочных работ в части систем автоматизации систем противопожарной защиты;1
7667;анализ причин отказов асутп систем противопожарной защиты;1
7668;обеспечение ведения статистической отчетности по автоматизированным системам в зоне своей ответственности;1
7669;выполнение требований законодательных и иных нормативных правовых актов рф контроль соблюдения лнд компании и общества в области асутп и кип;1
7670;высшее образование по направлению асу тп;1
7671;опыт работы по направлению деятельности не менее 3-х лет;1
7672;знание видов программного обеспечения асутп;1
7673;знание архитектуры и принципов построения и работы систем асутп;1
7674;знание промышленных сетей и протоколов передачи данных;1
7675;опыт работы с приборами кипиа различных производителей;1
7676;разработка разделов тз и документов трп;1
7677;размещение оборудования контроль поступления и сборки организация испытаний и последующей отгрузки;1
7678;формирование отчетов по исполнению проекта учет трудозатрат по проектам;1
7679;участие в изучении причин отказов и нарушений в работе оборудования возникновении несоответствий при исполнении проекта фиксация и ведение базы данных;1
7680;формирование организация согласования и подписания технических актов по этапам исполнения проектов;1
7681;участие в разработке технических решений при исполнении проекта а также создание новых продуктов и решений для более полного удовлетворения потребностей заказчика;1
7682;разработка нестандартных приложений для интеграции систем автоматизации;1
7683;продвижение систем асу тп компании yokogawa (плк / кип);1
7684;опыт работы в сфере промышленной автоматизации (обязательно);1
7685;опыт создания конфигурирования и внедрения автоматизированных систем управления;1
7686;знания схемотехники электротехнических устройств;1
7687;опыт работы с оборудованием yokogawa приветствуется;1
7688;знание методических и нормативных материалов по вопросам организации асу тп;1
7689;общие знания плк (программируемые логические контроллеры) и языков программирования;1
7690;по: microsoft office visio power point;1
7691;документация: гост пб фнип;1
7692;владение английским языком на уровне pre-intermediate (чтение технической литературы деловая переписка);1
7693;умение планировать и распределять работу;1
7694;рациональный подход к решению задач;1
7695;верстка разработка и улучшение проектов веб-сервисов и мобильных приложений в части frontend;1
7696;внедрение и использование передовых и актуальных веб-технологий;1
7697;оптимизация и рефакторинг;1
7698;документирование проектов;1
7699;участие в формировании тз и оценке задач и проектов;1
7700;обеспечивать своевременную реализацию обучения сотрудников корпоративных продаж согласованным срокам централизованных и локальных проектов;1
7701;анализировать влияние проведенного обучения на целевые показатели продаж/ поддержки продаж b2b;1
7702;участвовать в кросс-функциональных проектах компании для развития инструментов обучения;1
7703;обеспечивать выполнение поручений своего руководителя и руководства компании;1
7704;участие в проектах внедрения решений аскон;1
7705;участие в проведении обследования проектных организаций на предмет текущей автоматизации работ участие в формировании предложений по автоматизации проектной организации;1
7706;реализация уникальных проектных решений под задачи заказчика;1
7707;участие в разработке технической документации по проекту внедрения;1
7708;установка и настройка конфигурации по аскон по техническому заданию;1
7709;обучение сотрудников проектных организаций работе в автоматизированных системах;1
7710;техническое сопровождение работы сотрудников проектных организаций в автоматизированных системах;1
7711;опыт работы в проектной организации или it-компании автоматизирующей процессы проектных организаций (не менее 2 лет);1
7712;знание принципов администрирования ос windows работы и администрирования информационно-вычислительных сетей (домены права доступа пользователи);1
7713;понимание порядка исполнения работ в проектной организации;1
7714;хорошо развитые коммуникативные способности;1
7715;обучение за счет компании;1
7716;проведение презентации и переговоров;1
7717;составление коммерческих предложении;1
7718;обслуживание клиентов компании;1
7719;выполнение плана по продажам;1
7720;опыт в продажах не менее 6 месяцев;1
7721;быстро обучаемость;1
7722;умение работать с холодными звонками;1
7723;умение вести переговоры и презентации;1
7724;принимать участие в подготовке строительных договоров субподряда и подряда;1
7725;принимать и выдавать необходимую проектно-сметную документацию;1
7726;контролировать чтобы стоимость выполняемых по проекту и сметам строительных или монтажных работ соответствовала их качеству и объему;1
7727;контролировать разработку и внедрение новой техники и технологии строительного производства;1
7728;контролировать соблюдение технологической последовательности и сроков выполнения работ субподрядными организациями;1
7729;контролировать подготовку исполнительной документации работа с заказчиком региона по направлению деятельности;1
7730;высшее профессиональное (техническое) образование;1
7731;умение работать со сметно-проектной документацией;1
7732;опыт работы на проектах в капитальном строительстве на объектах нефтегазодобывающих предприятий;1
7733;способность быстро ориентироваться в потоке информации;1
7734;умение анализировать большой объем данных и делать выводы;1
7735;заключение договоров и приобретение программного и аппаратного обеспечения комплектующих и тп контроль исполнения договорных отношений с поставщиками ;1
7736;контроль ит бюджета в рамках курируемых договоров ;1
7737;взаимодействие со смежными подразделениями и внешними компаниями в рамках деятельности отдела ;1
7738;контроль работы по автоматизации банковских приложений ;1
7739;исполнение поручений руководства ;1
7740;участие в предпроектных обследованиях;1
7741;выявление заинтересованных лиц извлечение и анализ бизнес-требований;1
7742;создание артефактов по итогам анализа (презентация решения аналитическая записка образ и границы решения бизнес-модель решения);1
7743;согласование артефактов с заинтересованными лицами;1
7744;консультации заинтересованных лиц со стороны бизнеса;1
7745;управление изменениями бизнес-требований;1
7746;поддержание бизнес-модели решения в актуальном состоянии;1
7747;консультации команды разработки в процессе проектирования и создания программных решений;1
7748;участие в приемке и опытно-промышленной эксплуатации реализованных решений;1
7749;образование высшее (техническое будет преимуществом);1
7750;опыт использования case-средств для моделирования бизнес-требований;1
7751;опыт работы в роли аналитика в проектах разработки и внедрения it-систем от 2 лет;1
7752;опыт работы в проектах по автоматизации бизнес-процессов в ритейле – является преимуществом;1
7753;навыки извлечения бизнес-требований;1
7754;навыки описания бизнес-процессов и вариантов использования;1
7755;навыки разработки проектной и рабочей документации;1
7756;знание нотаций моделирования бизнес-процессов (bpmn epc);1
7757;общее знание uml;1
7758;понимание waterfall agile подходов к разработке программного обеспечения;1
7759;базовые знания в области управления проектами;1
7760;умение писать простые sql-запросы – является преимуществом;1
7761;общее знание xml json – является преимуществом;1
7762;широкий кругозор в it – является преимуществом;1
7763;умение находить решения в сложных ситуациях;1
7764;умение четко и структурированно излагать информацию – как устно так и письменно;1
7765;опыт работы проектирования в нефтегазовой отрасли от 1-2 лет;1
7766;разработка проектов в части программного информационного и математического обеспечения;1
7767;программирование контроллеров scada частотных преобразователей;1
7768;составление спецификаций шкафного оборудования автоматизации проектирование шкафов автоматизации;1
7769;подбор периферийного оборудования;1
7770;наладка запуск и сопровождение разрабатываемого программного обеспечения;1
7771;написание эксплуатационной документации;1
7772;опыт работы инженером по автоматизации на производственных предприятиях или в электромонтажных компаниях исследовательских институтах инженером программистом асу тп и пр (иностранные производители) – от 2 лет;1
7773;умение применять на практике языки программирования контроллеров в стандарте iec 61131-3 (контроллеры: siemens allen-bradley honeywell и пр );1
7774;знание архитектур компьютерных сетей знание протоколов передачи данных: industrial ethernet modbus profibus-dp и пр;1
7775;умение читать и редактировать электрические схемы;1
7776;опыт внедрения и поддержки проектов по автоматизации;1
7777;внедрение программного продукта;1
7778;анализ и проектирование бизнес-процессов;1
7779;постановка технических задач программистам;1
7780;обучение и сопровождение пользователей;1
7781;разработка технической документации;1
7782;контроль качества разрабатываемого программного продукта;1
7783;высшее образование (ит);1
7784;основы программирования;1
7785;основы делопроизводства;1
7786;понимание принципов разработки программного обеспечения и работы информационных систем;1
7787;ответственность умение грамотно и кратко излагать свои мысли в письменной и устной форме навыки коммуникаций стрессоустойчивость инициативность;1
7788;формирование dashboard и отчетности по различным направлениям бизнеса ;1
7789;автоматизация управленческой отчетности ;1
7790;подготовка аналитических и презентационных материалов для топ менеджмента компании ;1
7791;анализ ключевых финансовых и натуральных показателей по различным направлениям бизнеса ;1
7792;разработка методологии формирования отчетности по определенным направлениям бизнеса ;1
7793;высшее экономическое/техническое образование ;1
7794;хорошие аналитические способности ;1
7795;высокий уровень владения excel ;1
7796;навыки формирования презентационных материалов ;1
7797;знание основных принципов формирования финансовой отчетности и финансового анализа ;1
7798;знание языков программирования (sql vba python или прочее) или опыт работы в power bi power query являются преимуществом ;1
7799;формирование технических заданий на выполнение пир;1
7800;организация подготовки технико-коммерческих предложений для участия в тендерных процедурах;1
7801;организация и контроль над разработкой проектной и рабочей документации согласование проектных решений в инстанциях сопровождение экспертиз;1
7802;планирование работ и контроль над исполнением сроков выполнения;1
7803;принятие решений по проектируемым объектам;1
7804;согласование принятых решений в службах заказчика;1
7805;участие в переговорах при проведении тендеров;1
7806;опыт проектирования автоматизированных информационно-измерительных систем коммерческого учета электроэнергии (аскуэ аиис куэ) и автоматизированных систем диспетчерского управления (асду);1
7807;организаторские способности умение управлять коллективом;1
7808;прорисовка интерфейсов мобильных и web-приложений ;1
7809;выработка общей концепции интерфейсов системы ;1
7810;тестирование предложенных решений ;1
7811;прототипирование и визуализация интерфейсов ;1
7812;презентация созданного интерфейса заказчику обоснование своих решений ;1
7813;наличие портфолио по ui/ux проектированию (обязательно);1
7814;опыт разработки пользовательских интерфейсов от 2-х лет;1
7815;высокий уровень владения графическими редакторами;1
7816;умение аргументировать свои дизайн-решения c точки зрения ui/ux;1
7817;знания тенденций в современном дизайне интерфейсов;1
7818;понимание технологий web- разработки;1
7819;понимание юзабилитии процесса проектирования;1
7820;знание guideline (ios android);1
7821;установка и сопровождение программного обеспечения консультации пользователей ведение отчетности подписание актов выполненных работ;1
7822;создание и доработка компонентов системы автоматизированного проектирования (сапр/cad);1
7823;опыт разработки приложений на c++/mfc или c#/winforms;1
7824;технический английский на уровне чтения документации;1
7825;контроль исполнения плана поставок по ключевым точкам (утверждение частного технического задания (чтз) назначение уполномоченной организации согласование плана качества и тд);1
7826;управление рисками проекта разработка и реализация плана компенсирующих мероприятий;1
7827;участие в приемочных инспекциях изготовленного оборудования;1
7828;организация оформления накладных / актов сдачи приемки выполненных работ контрагентов заведение в 1с;1
7829;организация претензионной-исковой работы в ао «расу»;1
7830;анализ доходных/расходных договоров и формирование обязательств для загрузки в систему управления проектами;1
7831;формирование и контроль планов исполнения обязательств проекта;1
7832;формирование отчетности о статусе исполнения обязательств проекта фиксация выполнения в системе управления проектами;1
7833;мониторинг и прогноз хода исполнения договорных обязательств по проекту;1
7834;знание программ ms office: word excel powerpoint visio;1
7835;взаимодействие с заказчиками и исполнителями согласование проектной технической документации;1
7836;аналитика исходных данных мастер-систем и построение маппингов;1
7837;разработка стандартов проектирования кхд;1
7838;оптимизация структуры данных;1
7839;разработка моделей данных хранилищ данных проектирование логической модели витрин;1
7840;участие в активностях по разработке физической модели и реализации витрин данных;1
7841;участие в подготовке и утверждении целевой архитектуры хранилищ данных и связанных решений;1
